dataset,total_nb_images,total_selected_lightly
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID1,1119,1294
20230616_HerrenpuentSuedwestTestfield_S_20_F_60_H_12_O_sama_ID1,108,108
20230613_HerrenpuentTestfieldWithMarkers_S_00_F_00_H_12_O_stra_ID1,85,106
20220830_HaldenSued_S_50_F_50_O_stra_ID1,500,20
20230414_Waldegg_S_70_F_80_O_stra_ID1,1379,895
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_12_O_sama_ID4,142,163
20230504_HoratRitaUnterviertrlNord_S_20_F_50_O_sama_ID3,559,245
20230616_TestHerrenpuentSuedwestStreifen2_S_00_F_00_H_12_O_sama_ID2,24,89
20230613_TestfieldNoMarkers_S_05_F_05_H_12_O_sama_ID2,154,223
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID2,194,247
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID3,387,332
20221010_HaldenSued_S_25_F_60_O_sama_ID1,1597,792
20230613_TestfieldHerrenpuentNoMarkers_S_00_F_00_H_12_O_sama_ID1,84,134
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_12_O_sama_ID5,143,109
20230614_SchneiderWallenwilLangwisNord_S_20_F_60_H_12_O_krma_ID1,575,408
20230425_SchneiderWallenwil_S_20_F_50_O_sama_ID1,458,602
20230615_SchildOberhofenBuel2_S_20_F_60_H_12_O_krma_ID2,972,245
20230620_HerrenpuentSuedwestStreifen_S_25_F_70_H_12_O_krma_ID1,158,523
20230615_SchildOberhofenBuel4_S_20_F_60_H_12_O_krma_ID4,1143,794
20230620_HerrenpuentSuedwestStreifen_S_25_F_70_H_10_O_krma_ID1,180,456
20230405_Waldegg_S_70_F_80_O_sama_ID1,944,564
20230616_TestHerrenpuentSuedwestStreifen1_S_00_F_00_H_12_O_sama_ID1,43,83
20230620_HerrenpuentSuedwestTestfield_S_00_F_00_H_12_O_krma_ID1,39,45
20221010_HaldenNord_S_25_F_60_O_sama_ID1,1412,161
20230609_HerrenpuentSuedwest_S_20_F_60_H_12_O_krma_ID1,500,360
20230615_SchildOberhofenBuel1_S_20_F_60_H_12_O_krma_ID1,953,273
20230614_SchneiderWallenwilZisterwis_S_20_F_60_H_12_O_sama_ID1,765,585
20230425_SchneiderWallenwil_S_20_F_50_O_sama_ID2,104,273
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_10_O_krma_ID2,192,158
20230621_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_sama_ID2,51,179
20230421_Kuster_S_20_F_50_O_sama_ID1,1004,418
20230504_HoratRitaUnterviertrlNord_S_20_F_50_O_sama_ID2,284,277
20230606_HerrenpuentSuedwest_S_20_F_60_H_12_O_sama_ID2,560,326
20230609_HerrenpuentSuedost_S_20_F_60_H_12_O_krma_ID1,393,321
20220830_HaldenSued_S_10_F_20_O_stra_ID1,260,15
20230616_HerrenpuentSuedwestTestfield_S_00_F_00_H_12_O_sama_ID2,37,43
20220901_HaldenNord_S_10_F_50_O_sama_ID1,615,32
20230414_Waldegg_S_10_F_10_O_stra_ID1,140,202
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID1,237,152
20230606_TestfieldHerrenpuentNordost_S_20_F_60_H_12_O_sama_ID1,106,114
20230614_SchneiderWallenwilSoor_S_20_F_60_H_12_O_krma_ID1,891,662
20230405_Waldegg_S_20_F_50_O_sama_ID1,249,254
20230329_Herrenpuent_Suedost_S_70_F_80_O_sama_ID1,470,206
20230614_SchneiderWallenwilLangwisSued_S_20_F_60_H_12_O_krma_ID1,791,886
20230329_Herrenpuent_Suedost_S_20_F_70_O_sama_ID1,232,134
20230421_Burri_S_20_F_50_O_sama_ID1,716,237
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID4,156,111
20230403_HerrenpuentSuedOst_S_70_F_80_O_sama_ID1,855,71
20220816_TaenikonWiese_S_xx_F_xx_O_sama_ID3,77,25
20230609_RuedimoosTaenikon_S_20_F_60_H_12_O_krma_ID1,1320,415
20230616_TestHerrenpuentSuedwestStreifen3_S_00_F_00_H_12_O_sama_ID3,24,83
20230426_SchneiderWallenwilTest_S_20_F_50_O_sama_ID2,12,31
20230504_HoratRitaUnterviertrlNord_S_20_F_50_O_sama_ID1,196,239
20230609_TestfieldHerrenpuentNordost_S_70_F_80_H_12_O_sama_ID1,602,470
20230405_Waldegg_S_10_F_10_O_sama_ID1,106,92
20220830_HaldenSued_S_70_F_80_O_stra_ID1,749,555
20230606_TestfieldHerrenpuentNord_S_00_F_00_H_12_O_sama_ID1,55,103
20220823_HaldenSued_S_10_F_50_O_stra_ID1,874,467
20230414_Waldegg_S_20_F_50_O_stra_ID1,255,266
20230620_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_krma_ID1,51,207
20230614_SchneiderWallenwilStuckli_S_20_F_60_H_12_O_krma_ID1,623,133
20230426_SchneiderWallenwil_S_20_F_50_O_krma_ID2,529,324
20230421_SchildHohenegg_S_20_F_50_O_sama_ID1,1556,526
20230615_SchildDotnachtZaelgli_S_20_F_60_H_12_O_krma_ID1,372,361
20230620_HerrenpuentSuedwestTestfield_S_25_F_70_H_12_O_krma_ID3,142,149
20230615_SchildOberhofenBuel3_S_20_F_60_H_12_O_krma_ID3,1143,447
20230621_HerrenpuentSuedwestStreifen_S_00_F_00_H_12_O_sama_ID1,51,180
